          subj           cond           chan            win           mean
  Subjects2021        POSCONc             Cz     +310..+370    -5.7082e-01 11_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120     9.3364e-01 11_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -1.4511e+00 11_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.5147e+00 11_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -6.3866e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     1.0741e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     3.1702e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -6.7409e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     2.7383e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     3.9499e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -7.1098e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     2.8627e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     4.2205e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -6.4214e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     2.8545e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     4.1523e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -9.0035e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -5.1381e+00 12_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.0621e+00 12_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -1.1014e+00 13_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     6.0784e-01 13_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     1.7685e+00 13_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -1.2630e+00 13_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     2.0055e+00 13_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     1.9126e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -1.5417e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     2.2480e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     1.9189e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -2.2975e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     3.6835e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     2.2958e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -1.5891e+00 13_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220     7.6504e-01 13_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.6184e+00 13_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -3.7461e+00 14_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     5.8351e-01 14_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370     4.2805e-01 14_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -4.8952e+00 14_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     5.5664e-01 14_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370     7.3131e-01 14_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -5.4246e+00 14_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     3.9695e-01 14_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370     8.2297e-01 14_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -7.3026e+00 14_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220    -2.6286e-01 14_POSCONc.avr
  Subjects2021        POSCONc             Cz     +310..+370     9.4446e-01 14_POSCONc.avr
  Subjects2021        POSCONc             Pz     +100..+120    -7.3200e+00 14_POSCONc.avr
  Subjects2021        POSCONc             Pz     +180..+220    -4.0417e+00 14_POSCONc.avr
  Subjects2021        POSCONc             Pz     +310..+370     1.3472e+00 14_POSCONc.avr
  Subjects2021        POSCONc             F3     +100..+120    -5.7354e+00 16_POSCONc.avr
  Subjects2021        POSCONc             F3     +180..+220     5.1486e-01 16_POSCONc.avr
  Subjects2021        POSCONc             F3     +310..+370    -1.9854e+00 16_POSCONc.avr
  Subjects2021        POSCONc             F1     +100..+120    -6.6780e+00 16_POSCONc.avr
  Subjects2021        POSCONc             F1     +180..+220     9.8108e-01 16_POSCONc.avr
  Subjects2021        POSCONc             F1     +310..+370    -2.3500e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Fz     +100..+120    -7.2249e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Fz     +180..+220     9.9980e-01 16_POSCONc.avr
  Subjects2021        POSCONc             Fz     +310..+370    -2.8242e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Cz     +100..+120    -4.1677e+00 16_POSCONc.avr
  Subjects2021        POSCONc             Cz     +180..+220     1.9270e+00 16_POSCONc.avr
