          subj           cond           chan            win           mean
  subject_avgs       TWthreec             Pz     +210..+290    -1.3257e+00 07_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     5.3457e-01 08_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     1.3054e+00 08_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -1.9863e+00 08_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -2.7155e+00 09_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -1.8964e+00 09_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -9.5210e-01 09_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -3.0083e+00 10_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -2.8196e+00 10_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -5.2425e+00 10_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -1.2480e+00 11_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     5.6204e-02 11_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290     4.2595e-01 11_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.8608e+00 12_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     3.9975e+00 12_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.1689e-01 12_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     3.4515e+00 13_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     4.4402e+00 13_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290     1.6697e+00 13_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.8297e-01 14_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     2.2851e-01 14_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.1279e-01 14_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -1.6474e+00 16_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     1.6472e-01 16_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -8.8111e-01 16_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.0005e+00 17_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     1.0838e+00 17_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290     4.8228e-01 17_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -2.0483e+00 18_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -4.4609e+00 18_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -7.1423e+00 18_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -3.6581e+00 19_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -3.0640e+00 19_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -3.3534e+00 19_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -1.4253e+00 20_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -2.8037e+00 20_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.1095e+00 20_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.2468e+00 21_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -2.3350e+00 21_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -4.6153e+00 21_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     9.2160e-01 22_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -6.4068e-01 22_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -3.2138e+00 22_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     9.1089e-01 23_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -9.7500e-01 23_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -3.5691e+00 23_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -7.9883e-01 24_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -2.8759e+00 24_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -4.6950e+00 24_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290    -3.4342e+00 25_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290    -3.1625e+00 25_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -2.7392e+00 25_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     2.1289e-01 26_TWthreec.avr
  subject_avgs       TWthreec             Cz     +210..+290     3.6455e-01 26_TWthreec.avr
  subject_avgs       TWthreec             Pz     +210..+290    -1.9036e-01 26_TWthreec.avr
  subject_avgs       TWthreec             Fz     +210..+290     1.5006e+00 27_TWthreec.avr
