          subj           cond           chan            win           mean
  subject_avgs      CLOSECONc             T7     +310..+370    -6.4270e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -4.5027e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -7.6096e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -3.8623e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -3.4961e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220     3.4671e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     2.3249e-02 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -6.6203e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -5.1228e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -3.5413e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120    -4.2654e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.7290e+00 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -4.1462e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120    -4.0387e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -6.3629e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -6.0672e-01 10_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -4.8390e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -2.4417e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -1.7848e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.2859e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -7.3408e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     1.5735e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -5.2169e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -2.3551e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -1.0512e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120     2.0427e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220     5.2700e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     1.7168e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -1.0806e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -9.3713e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370     8.0214e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     1.7948e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220     3.5786e-01 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370     3.0980e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     1.8804e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220     1.4273e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     2.7299e+00 11_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -5.3248e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     7.5951e-01 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     3.4204e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.3022e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -2.1706e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     1.6605e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -4.6584e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     1.6884e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370     4.5201e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120     2.8748e-01 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -2.5576e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     1.0983e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -4.6577e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -6.2296e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370     2.7919e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120    -5.1750e-01 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.7265e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -1.8939e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     6.0361e-01 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -2.4954e+00 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -4.4558e-01 12_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -2.4711e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -4.9433e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     2.0499e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.1558e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -7.0304e-02 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     8.8135e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -3.7696e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -3.1954e-02 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -8.5601e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -2.7727e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220     5.1681e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -1.4755e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -3.2166e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -3.1333e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -9.6707e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     8.4837e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -6.2843e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -2.0753e-02 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     2.9936e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -7.5490e-01 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -1.2039e+00 13_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -5.6519e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     2.7102e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     4.2113e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120     1.1220e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -7.3699e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -7.3589e-03 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -7.9149e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -7.8934e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -7.6398e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -3.5009e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -2.4731e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -7.8541e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -8.1927e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -3.8553e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -2.4271e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     2.6060e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.2379e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -6.4533e-02 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120    -2.9755e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -1.5149e+00 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -5.9941e-01 14_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -6.4890e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -4.4485e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -1.3435e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -1.9276e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220     9.2030e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370     8.7777e-02 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -3.9399e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     1.3474e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -1.1508e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -2.8806e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -1.1093e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -6.5865e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -5.3539e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220     8.5707e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370     2.1907e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     2.1599e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220     6.2671e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370     9.0948e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     1.3477e+00 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -2.2217e-02 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     2.6899e-01 16_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -3.5182e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220     9.8468e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370     1.4270e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -2.2037e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -1.2503e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -5.6512e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -3.2871e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220     1.4869e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370     5.1472e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -7.8446e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -3.8520e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370     3.8691e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -2.0010e-02 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -6.8989e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370     8.9917e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     2.7632e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -1.1100e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370    -1.1771e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     1.0906e+00 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -7.9707e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370    -2.6898e-01 17_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -8.3319e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -4.9846e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +310..+370    -4.1978e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +100..+120    -3.7793e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +180..+220    -2.6087e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T7     +310..+370    -2.0495e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +100..+120    -7.7118e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +180..+220    -7.4039e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Cz     +310..+370    -1.8920e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +100..+120    -2.8533e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +180..+220    -4.5170e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             T8     +310..+370    -1.9134e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +100..+120    -3.9734e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +180..+220    -7.9208e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Pz     +310..+370    -9.3315e-01 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +100..+120     1.7752e-01 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +180..+220    -5.3436e-01 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M1     +310..+370     6.3606e-01 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +100..+120     6.6756e-01 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +180..+220    -1.5370e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             M2     +310..+370     1.0075e+00 18_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +100..+120    -5.7440e+00 19_CLOSECONc.avr
  subject_avgs      CLOSECONc             Fz     +180..+220    -6.0492e+00 19_CLOSECONc.avr
