          subj           cond           chan            win           mean
  Subjects2021           YESc             Pz     +310..+370     6.4210e-01    17_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -6.0818e+00    18_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -3.6590e+00    18_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.8111e+00    18_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -7.5139e+00    18_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -5.6529e+00    18_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -8.1511e-01    18_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -6.5663e+00    18_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -7.5612e+00    18_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -1.1039e+00    18_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -6.8584e+00    19_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -3.8443e+00    19_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -1.3619e+00    19_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -7.1748e+00    19_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -3.3671e+00    19_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -1.5257e+00    19_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -6.9127e+00    19_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -5.6156e+00    19_YESc.avr
  Subjects2021           YESc             Pz     +310..+370    -8.3759e-01    19_YESc.avr
  Subjects2021           YESc             Fz     +100..+120    -4.5681e+00    20_YESc.avr
  Subjects2021           YESc             Fz     +180..+220    -9.0954e-01    20_YESc.avr
  Subjects2021           YESc             Fz     +310..+370    -9.6255e-01    20_YESc.avr
  Subjects2021           YESc             Cz     +100..+120    -3.9263e+00    20_YESc.avr
  Subjects2021           YESc             Cz     +180..+220    -2.4589e+00    20_YESc.avr
  Subjects2021           YESc             Cz     +310..+370    -2.3958e+00    20_YESc.avr
  Subjects2021           YESc             Pz     +100..+120    -5.7176e-01    20_YESc.avr
  Subjects2021           YESc             Pz     +180..+220    -1.9473e+00    20_YESc.avr
